Country;Visits;Emails;Paywalls
"	Chad";15;3;2
"	Central African Republic";13;5;3
"	Mongolia";15;3;3
"	Rwanda";14;5;3
"	Djibouti";12;1;0
"	Algeria";13;0;0
"	Nepal";13;4;1
"	Venezuela";11;5;2
"	Uganda";11;2;1
"	Equatorial Guinea";11;2;1
"	Guinea-Bissau";11;2;1
"	Mozambique";9;3;1
"	Kazakhstan";7;0;0
"	Uzbekistan";8;0;0
"	Comoros";8;3;0
"	Suriname";6;1;0
"	Nicaragua";6;0;0
"	Iraq";6;1;1
"	São Tomé and Príncipe";4;0;0
"	Saint Barthélemy";4;2;2
"	Cuba";4;1;0
"	Norfolk Island";4;1;0
"	Mauritania";4;1;1
"	Madagascar";3;1;0
"	El Salvador";2;0;0
"	Tokelau";2;0;0
"	Syria";2;0;0
"	Niger";2;0;0
"	Wallis and Futuna";1;1;1
"	Yemen";1;0;0
